관리 ID,수종관리번호,수종명(한글명),수고,흉고직경,근원경,수관폭,수목 수령,"보호틀
설치유무","보호덮개
설치유무","지주대
설치유무","보호대
설치유무",법정동 코드,도로명코드,도로구간일련번호,"조성위치
(좌/우/중앙분리대)",식재 위치,식재 간격,식재상태,조성 일자,보호틀 형태,삭제 구분,삭제 사유,경도,위도
PT00024,벗나무-24,벗나무,4.3,14,15.4,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776699518688,37.8898448573093
PT00025,벗나무-25,벗나무,3.8,12,13.2,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776703502983,37.8898981402658
PT00026,벗나무-26,벗나무,4.7,17,18.7,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776724835037,37.8903080411645
PT00027,벗나무-27,벗나무,4.8,13,14.3,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776726142212,37.8903631528464
PT00028,벗나무-28,벗나무,4.8,15,16.5,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776727245484,37.8904163533408
PT00029,벗나무-29,벗나무,5.1,14,15.4,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776731125445,37.8904703089094
PT00030,벗나무-30,벗나무,5.0,13,14.3,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776733273411,37.8905242910815
PT00031,벗나무-31,벗나무,4.3,14,15.4,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776737048322,37.8905763090918
PT00032,벗나무-32,벗나무,5.7,17,18.7,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776740055958,37.8906320783308
PT00033,벗나무-33,벗나무,4.5,13,14.3,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776742940561,37.8906859686391
PT00034,벗나무-34,벗나무,4.0,13,14.3,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776745490334,37.8907418606293
PT00035,벗나무-35,벗나무,4.5,12,13.2,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776745118201,37.8907937522898
PT00036,벗나무-36,벗나무,4.7,12,13.2,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776750694823,37.8908509900204
PT00037,벗나무-37,벗나무,6.1,15,16.5,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776751885016,37.8909009708474
PT00038,벗나무-38,벗나무,6.0,15,16.5,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776753975568,37.8909569252036
PT00039,벗나무-39,벗나무,4.3,19,20.9,1.5,0,Y,N,N,N,0,2218001,163,L,보도,6,0.0,0,직사각형,N,,127.776756612062,37.8910116732322
